,Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Poisoning,Status
72,Haiti,59.86875,168.3125,17,5.486,36.1292001789375,40.6666666666667,71.9375,39.275,24.8125,53.8125,6.18333333333333,48,2.7375,434.36012815,3852657.6875,4.24375,4.25625,0.4620625,8.45,0.082,Developing
73,Honduras,72.99375,142,4.625,3.042,192.11563525375,95.0625,0,39.74375,5.6875,95.375,8.14733333333333,95.625,0.81875,1421.7880825,2832386.5625,2.4,2.3375,0.590125,10.8875,1.4,Developing
74,Hungary,73.825,147.0625,0.5625,11.4273333333333,376.831080251,,2.0625,56.93125,0.875,98.9375,7.76866666666667,99,0.1,8513.64183125,1604902.25,1.91875,1.9125,0.8043125,15.11875,0.81,Developed
75,Iceland,82.44375,49.375,0,7.466,4991.59530846875,,0,51.075,0,89.75,8.546,89.75,0.1,30159.5029075,186177.625,0.95625,0.9,0.8853125,18.15625,0.41,Developed
76,India,65.41875,146.5625,1366.6875,1.942,33.2426210915625,35,46454.1875,14.79375,1812.5,69.625,4.35866666666667,67.0625,0.25625,837.9200509125,421467690.9375,27.1,27.94375,0.5495,9.98125,0.11,Developing
77,Indonesia,67.55625,166.5625,151.1875,0.068666666666667,83.768315591875,73.5625,16244.9375,19.95625,186.625,62.1875,2.66333333333333,72.375,0.2,1669.116783075,116555259.4375,3.41875,3.94375,0.6414375,11.6125,0.3,Developing
78,Iran (Islamic Republic of),73.85625,107,25.1875,0.016,0,97.75,2828.25,48.63125,29.6875,98.25,6.29,98.375,0.1,,,7.76875,7.95625,0.715,12.65625,0.31,Developing
79,Iraq,70.35625,136.75,31.1875,0.134666666666667,120.663689503125,64.875,3454.375,48.59375,38,55.625,4.43583333333333,65.75,0.1,3542.55753725,18572840.8125,5.4,5.1625,0.6335,9.90625,1.07,Developing
80,Ireland,80.15,72.4375,0,12.654,4867.3126046875,86.8333333333333,174.5,53.6875,0,86.125,7.72866666666667,86.125,0.1,33835.272005,3599794.5625,0.3,0.21875,0.8915,17.65625,0.28,Developed
81,Israel,81.3,59.5,0.9375,2.49733333333333,1467.53582692187,97.4375,138.9375,54.9875,1,94.25,7.47866666666667,89,0.1,18860.476015625,27862.875,1.14375,1.1,0.8731875,15.7125,0.36,Developing
82,Italy,82.1875,54.1875,2,8.26666666666667,2937.13765423063,95.5,1961.375,56.15,2.3125,96.125,8.77733333333333,94.75,0.1,21234.782370625,27643788.9375,0.5125,0.525,0.8580625,15.93125,0.02,Developed
83,Jamaica,74.29375,141.25,1,3.624,134.249450170875,83.1538461538462,0.1875,45.425,1,89.625,5.144,89.3125,1.2375,2509.546469625,1500309.125,1.88125,1.7375,0.709625,12.275,0.31,Developing
84,Japan,82.5375,57.125,2.875,7.04066666666667,3923.05032917375,,6875.8125,25.60625,4,96,6.47266666666667,96.25,0.1,24892.544784375,97384.0625,1.8125,1.54375,0.8765625,14.975,0.076,Developed
85,Jordan,72.9875,114.3125,4,0.517333333333333,273.59953421875,97,26.5,53,4,97.125,8.78133333333333,97,0.1,1822.629925625,4895075.6875,3.8875,3.86875,0.729,13.2375,0.24,Developing
